INFO 2025-10-01 14:08:17,663 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:19:03,797 autoreload C:\Users\Shubham\Desktop\anpr-system\backend\anpr_detection\services.py changed, reloading.
INFO 2025-10-01 14:19:07,414 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:19:23,874 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:20:11,021 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:21:19,407 autoreload Watching for file changes with StatReloader
WARNING 2025-10-01 14:21:25,194 log Not Found: /
WARNING 2025-10-01 14:21:25,196 basehttp "GET / HTTP/1.1" 404 2404
WARNING 2025-10-01 14:21:25,912 log Not Found: /favicon.ico
WARNING 2025-10-01 14:21:25,919 basehttp "GET /favicon.ico HTTP/1.1" 404 2455
WARNING 2025-10-01 14:21:43,304 log Not Found: /
WARNING 2025-10-01 14:21:43,306 basehttp "GET /?ide_webview_request_time=1759308701444 HTTP/1.1" 404 2443
WARNING 2025-10-01 14:21:46,487 log Not Found: /@vite/client
WARNING 2025-10-01 14:21:46,555 basehttp "GET /@vite/client HTTP/1.1" 404 2458
WARNING 2025-10-01 14:29:31,229 log Not Found: /
WARNING 2025-10-01 14:29:31,232 basehttp "GET / HTTP/1.1" 404 2404
INFO 2025-10-01 14:31:12,122 autoreload C:\Users\Shubham\Desktop\anpr-system\backend\anpr_backend\urls.py changed, reloading.
INFO 2025-10-01 14:31:16,069 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:31:25,783 autoreload C:\Users\Shubham\Desktop\anpr-system\backend\anpr_backend\urls.py changed, reloading.
INFO 2025-10-01 14:31:28,230 autoreload Watching for file changes with StatReloader
INFO 2025-10-01 14:32:07,440 basehttp "GET /?ide_webview_request_time=1759308701444 HTTP/1.1" 302 0
WARNING 2025-10-01 14:32:07,780 log Forbidden: /api/
WARNING 2025-10-01 14:32:07,785 basehttp "GET /api/ HTTP/1.1" 403 4940
INFO 2025-10-01 14:32:13,300 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-10-01 14:32:13,303 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-10-01 14:32:13,596 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-10-01 14:32:13,596 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-10-01 14:32:13,599 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-10-01 14:32:13,600 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-10-01 14:32:13,602 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-10-01 14:32:13,698 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-10-01 14:32:13,841 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-10-01 14:32:13,884 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-10-01 14:32:14,110 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-10-01 14:32:14,285 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-10-01 14:32:14,446 log Not Found: /@vite/client
WARNING 2025-10-01 14:32:14,449 basehttp "GET /@vite/client HTTP/1.1" 404 2558
WARNING 2025-10-01 14:32:20,206 log Forbidden: /api/
WARNING 2025-10-01 14:32:20,208 basehttp "GET /api/ HTTP/1.1" 403 4940
WARNING 2025-10-01 14:32:20,390 log Not Found: /@vite/client
WARNING 2025-10-01 14:32:20,401 basehttp "GET /@vite/client HTTP/1.1" 404 2558
INFO 2025-10-01 14:32:23,173 basehttp "GET /api-auth/login/?next=/api/ HTTP/1.1" 200 2705
WARNING 2025-10-01 14:32:23,546 log Not Found: /@vite/client
WARNING 2025-10-01 14:32:23,643 basehttp "GET /@vite/client HTTP/1.1" 404 2558
WARNING 2025-10-01 14:32:31,113 log Forbidden: /api/detections/
WARNING 2025-10-01 14:32:31,122 basehttp "GET /api/detections/ HTTP/1.1" 403 5145
INFO 2025-10-01 14:32:31,598 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-10-01 14:32:31,612 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-10-01 14:32:31,656 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-10-01 14:32:31,747 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-10-01 14:32:31,778 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-10-01 14:32:31,779 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-10-01 14:32:31,816 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-10-01 14:32:31,855 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-10-01 14:32:31,856 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-10-01 14:32:31,857 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-10-01 14:32:31,951 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-10-01 14:32:32,024 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-10-01 14:32:38,888 basehttp - Broken pipe from ('127.0.0.1', 61585)
